customer_id,helpful_votes,marketplace,product_category,product_id,product_parent,product_title,review_body,review_date,review_headline,review_id,star_rating,total_votes,verified_purchase,vine
43192392,7,US,Beauty,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Was a great dryer. Loved it. However it burned out within 2 months.,8/12/2015,Disappointed,R1B0RWNKK0FP61,1,27,Y,N
14406353,4,US,Beauty,B00SKQFT4I,593915883,xtava allure 2200w professional ionic ceramic hair dryer - bring the salon to your home with this powerful and precise blow dryer - 2 speeds - 3 heat settings (ebony),Blew out coils after 2 weeks of use.,7/18/2015,One Star,RYIJF2DB70DUD,1,24,Y,N
20030564,0,US,Beauty,B007T70X0Y,535977674,hsi professional hair dryer d-2200 with turbo ionic and infrared technology,I would not recommend this dryer since it only blows out cold air and takes me thirty minutes to dry out my hair.,12/27/2013,Don't purchase,RY2I3XWJRC30L,1,13,Y,N
10735772,3,US,Beauty,B003FBG88E,195677102,conair pro styler ionic conditioning hair dryer,my hair looks so dry after i use it. i am very disappointed. i would of returned it but i lost the return slip!,5/13/2013,not good,R3UFUS8UEF5O5W,1,11,Y,N
32170051,3,US,Beauty,B0027SU9JU,918034537,revlon 1875w volumizing turbo hair dryer,I ordered this blow dryer pictured and the one I received was a blue and black one. There was nothing on the page when I ordered that said they could come in different colors so I was very disappointed. The blow dryer itself is fine I just don't think they should send a different color than pictured.,4/5/2013,Disappointed,R19S3F5BX1J5A1,2,14,Y,N
50037464,0,US,Beauty,B003ICX810,415057628,pro beauty tools professional turbo hair dryer,"I bought this blow dryer for my daughter. Funny enough, the only thing I can comment on is because I've only seen her use it to dry off her cat when she gave it a bath. I'm not saying  she hasn't used it herself. I just haven't heard anything from her about it?",1/14/2013,Good value for the money,R2B5NL3Z9NTIED,4,10,Y,N
49430440,1,US,Beauty,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,I hardly post any reviews but this product forced me to place one. The packaging was not in order. The attachments of the dryer were left opened in the box. It seems to me that the product is used before as there were signs of use. I never expect open box shipments from Amazon but this is an exception. The product is in working condition so I don't want to enter into the hassles of returns. I will keep the product but not satisfied with the Shipping and handling.,4/27/2012,Worst packaging ever,R21KV38YHGHLI8,2,15,Y,N
27023172,4,US,Beauty,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,"Wife likes it, so I'm happy. Anything to keep that nag off my back. Loud, which is a good thing, can't hear the ball and chain complaining about the bathroom walls, sink, toilet, mirrors, lights, outlets, shower. Safe, - unfortunately. :~)",11/28/2011,Runs good,R1Q5D76FYVR39N,4,19,Y,N
25385516,3,US,Beauty,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Since I purchased this hair dryer my hair has never been in worse shape than now.....It caused the top of my hair to break off in several different places.  The A/C motor does not help!!! I'm going back to Conair!! Never had a problem with them!!! I am devistated!!! Do NOT buy this product!!!,7/17/2011,Awful Hairdryer ruined my hair,R1ECT9Z7232ZUF,1,16,N,N
16221800,0,US,Beauty,B00070E8IS,531479992,elchim professional 2001 classic hair dryer (colors may vary),I ordered the Elchim Professional 2001 1800 Watt Classic Hair Dryer (Color May Vary) expecting a product somewhat looking as described--perhaps in different shades of red and black. The hair dryer came in black which I did not like. It was returned and the return hair dryer was also black. Since color coordination is an important factor in our tiny bathroom I was really disappointed with the product. I returned both packages and will purchase another red hair dryer. I thought the color description was misleading. I have not tried the product so I do not know about its quality.,12/29/2010,Misleading color description,R2KEA4DOJPG54B,2,12,Y,N
32786393,3,US,Beauty,B00006IV22,357308868,conair 1875 watt dual voltage folding handle hair dryer,This was not the product I ordered and was disappointed that it cost me $12.20 to return it.   I feel Amazon should have refunded my postage.  I do thank you for the timely return price of the item itself.    Thank you  Pat Savina,11/29/2010,disappointed with Amazon,R44C9120KVCIN,1,20,Y,N
40451557,12,US,Beauty,B002BFX6EO,391944105,sedu revolution professional hair dryer (4000i),This hair dryer is a waste of money!  Purchase a Conair 213X Infiniti Professional Tourmaline Ceramic Technology Ionic Styler - $34.99  OR  Andis 1875 Watt Professional Ceramic Ionic Hair Dryer - $39.99  Works better and saves you a heap of money.  This dryer is NOT worth $139.99!!!,4/19/2010,Absolute Waste of Money!,R1Q83YY2P1LTIF,1,51,Y,N
51097513,1,US,Beauty,B000IF3D38,108191918,conair thermal shine 1875 watt hair dryer 1 ea,"I ordered this conair hairdryer to replace a different model conair hairdryer that was great but had stopped working after 3 years of heavy use.  From the first time I used this model I found the airflow to be weak.  After using it twice, the words next to the settings had smeared and are now almost completely rubbed off.    Do not buy this model.",4/18/2010,Dissapointing Low quality hair dryer,R23NJM8NHR3PS3,1,11,Y,N
29350116,3,US,Beauty,B00132ZG3U,758099411,conair 1875 watt tourmaline ceramic hair dryer,"My hair is curly, so I think this dryer is not so stronger for my hair.",8/21/2009,Dryer,R13MVLELEXVD4X,3,11,Y,N
51032648,0,US,Beauty,B000K7JLGM,199558933,t3 bespoke labs 83808-se featherweight professional ionic ceramic tourmaline hair dryer,bought it. didn't use it. wanted a silver one. picture looks silver. returned it. will get exactly what i want instead.,9/5/2008,hair dryer looks silver in picture but it's actually white,R1A9OSWD1P23B1,2,13,Y,N
44604256,1,US,Beauty,B00020QJEE,791081896,hello kitty 1875 watt hair dryer,"I made this order. after i got it, i found out it wasn't working. i plugged it & it refused to come on. it was a pure waste of my money because what's the point if i can't use it. i should have gotten something better or more mature. Now i regret buying it.",12/29/2007,it doesn't come on. what a pure waste of my money,R1HDJZ21EO034N,1,10,N,N
11395450,3,US,Beauty,B000065DJY,919751065,revlon 1875w volumizing hair dryer,"Ion Electrostatic precipitators release small doses of ozone as a byproduct, ozone is toxic and can eat away at the tissue of your lungs.",11/27/2006,Ion ozone is toxic,R33DUV5F15NYBM,1,18,N,N
50065441,3,US,Beauty,B000EPHRO8,442401590,remington d-2012 tstudio collection tourmaline and ceramic hair dryer,"Very nice, sleek design.  I just got it, haven't used it yet but the design itself makes it one of the best ones out there, if not the best.  The only thing that it is missing: a folding handle.",4/16/2006,Lovely sleek design,R3LCYB308BQYH7,4,26,N,N
34678741,0,US,Beauty,B003V264WW,732252283,"remington ac2015 t|studio salon collection pearl ceramic hair dryer, deep purple",Works great!,8/31/2015,Works great,R9T1FE2ZX2X04,5,0,Y,N
2282190,0,US,Beauty,B0007NZPY6,16483457,conair pro hair dryer,Love this dryer!,8/31/2015,Five Stars,RIDHM8B7SCCV3,5,1,Y,N
